epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0333,1.6784,2.44079,1.37731,0.50302,0.15074,0.31979,0.17407,1.47222,2.34914,1.23442,0.000471473,0.000471473,0.000471473
2,163.725,1.40087,1.42572,1.19271,0.55384,0.60146,0.63091,0.34533,1.33791,1.65721,1.24534,0.000885251,0.000885251,0.000885251
3,244.909,1.36158,1.25979,1.18379,0.67903,0.51042,0.55034,0.30228,1.4607,1.29993,1.25457,0.00123615,0.00123615,0.00123615
4,325.003,1.31031,1.14868,1.15842,0.54497,0.53131,0.53286,0.28611,1.41427,1.04879,1.22179,0.00114606,0.00114606,0.00114606
5,405.235,1.29426,1.04415,1.14967,0.55303,0.68276,0.68434,0.39592,1.24314,0.92622,1.14345,0.00105174,0.00105174,0.00105174
6,486.091,1.24493,0.98135,1.14224,0.8469,0.68162,0.76472,0.40182,1.29845,0.88607,1.17387,0.00095743,0.00095743,0.00095743
7,565.561,1.20012,0.89651,1.12022,0.8902,0.69739,0.7907,0.44708,1.30452,0.81467,1.14926,0.000863116,0.000863116,0.000863116
8,644.878,1.17886,0.84069,1.09606,0.71457,0.69056,0.70986,0.40036,1.40425,0.88738,1.20671,0.000768802,0.000768802,0.000768802
9,724.081,1.17096,0.7954,1.09812,0.89109,0.73074,0.8271,0.47623,1.24604,0.75279,1.14725,0.000674488,0.000674488,0.000674488
10,803.087,1.10972,0.74562,1.07863,0.86452,0.74503,0.83762,0.51932,1.19985,0.71719,1.11335,0.000580174,0.000580174,0.000580174
11,882.293,1.08702,0.71488,1.06137,0.87046,0.75861,0.84469,0.51717,1.17249,0.70658,1.10675,0.00048586,0.00048586,0.00048586
12,961.492,1.06623,0.67853,1.05023,0.88346,0.78086,0.84272,0.52499,1.1604,0.65626,1.08865,0.000391546,0.000391546,0.000391546
13,1040.74,1.02331,0.63726,1.03684,0.89728,0.74663,0.85686,0.5445,1.1635,0.65041,1.08973,0.000297232,0.000297232,0.000297232
14,1120.03,1.01058,0.61319,1.02063,0.89004,0.77934,0.85544,0.53232,1.14022,0.62225,1.0934,0.000202918,0.000202918,0.000202918
15,1199.16,0.97866,0.59057,1.00791,0.90317,0.76877,0.86252,0.55593,1.12151,0.60989,1.07165,0.000108604,0.000108604,0.000108604
