epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2293,1.6784,2.44079,1.37731,0.50302,0.15074,0.31979,0.17407,1.47222,2.34914,1.23442,0.000471473,0.000471473,0.000471473
2,30.5277,1.39827,1.42481,1.18919,0.64513,0.57762,0.64648,0.35809,1.41231,1.26455,1.23332,0.000760141,0.000760141,0.000760141
3,44.5541,1.32418,1.24515,1.16146,0.70891,0.58179,0.61332,0.32018,1.4387,1.14795,1.24368,0.00086018,0.00086018,0.00086018
4,58.4603,1.27116,1.12755,1.13814,0.71997,0.62791,0.65329,0.36634,1.27763,0.99459,1.17216,0.000580174,0.000580174,0.000580174
5,72.1863,1.18668,0.99949,1.09678,0.8868,0.68611,0.7845,0.48444,1.1604,0.80434,1.10024,0.000297232,0.000297232,0.000297232
